11111 0          11323 80         11535 2000       12151 a          12363 adatte     12615 agire      
11112 1          11324 81         11536 2001       12152 aa         12364 adatti     12616 agisca     
11113 2          11325 82         11541 2002       12153 aaa        12365 adatto     12621 agita      
11114 3          11326 83         11542 2003       12154 aaaa       12366 addii      12622 agitai     
11115 4          11331 84         11543 2004       12155 ab         12411 addio      12623 agiti      
11116 5          11332 85         11544 2005       12156 abate      12412 addita     12624 agito      
11121 6          11333 86         11545 2006       12161 abati      12413 additi     12625 agli       
11122 7          11334 87         11546 2007       12162 abbai      12414 addito     12626 aglio      
11123 8          11335 88         11551 2008       12163 abbaia     12415 addome     12631 ago        
11124 9          11336 89         11552 2009       12164 abbaio     12416 addomi     12632 agonia     
11125 10         11341 90         11553 2010       12165 abbi       12421 adegua     12633 agonie     
11126 11         11342 91         11554 2015       12166 abbia      12422 adegui     12634 agosto     
11131 12         11343 92         11555 2020       12211 abbina     12423 adeguo     12635 agrume     
11132 13         11344 93         11556 2030       12212 abbini     12424 adesso     12636 agrumi     
11133 14         11345 94         11561 2035       12213 abbino     12425 adora      12641 aguzza     
11134 15         11346 95         11562 2040       12214 abbona     12426 adorai     12642 aguzzi     
11135 16         11351 96         11563 2045       12215 abboni     12431 adorna     12643 aguzzo     
11136 17         11352 97         11564 2050       12216 abbono     12432 adorni     12644 ah         
11141 18         11353 98         11565 2222       12221 abc        12433 adoro      12645 ai         
11142 19         11354 99         11566 2345       12222 abdica     12434 adotta     12646 aiuole     
11143 20         11355 100        11611 2468       12223 abdico     12435 adotti     12651 aiuta      
11144 21         11356 101        11612 3000       12224 abete      12436 adotto     12652 aiutai     
11145 22         11361 111        11613 3333       12225 abeti      12441 adula      12653 aiuti      
11146 23         11362 123        11614 3456       12226 abile      12442 adulai     12654 aiuto      
11151 24         11363 200        11615 4000       12231 abili      12443 aduli      12655 aj         
11152 25         11364 222        11616 4321       12232 abissi     12444 adulo      12656 ak         
11153 26         11365 234        11621 4444       12233 abisso     12445 adulta     12661 al         
11154 27         11366 300        11622 4567       12234 abiti      12446 adulte     12662 alba       
11155 28         11411 333        11623 5000       12235 abito      12451 adulti     12663 albe       
11156 29         11412 345        11624 5555       12236 abitua     12452 adulto     12664 alberi     
11161 30         11413 400        11625 5678       12241 abitui     12453 aduna      12665 albero     
11162 31         11414 444        11626 6000       12242 abituo     12454 adunai     12666 albina     
11163 32         11415 456        11631 6666       12243 abiura     12455 aduni      13111 albine     
11164 33         11416 500        11632 6789       12244 abiuri     12456 aduno      13112 albino     
11165 34         11421 555        11633 7000       12245 abiuro     12461 ae         13113 alcuna     
11166 35         11422 567        11634 7777       12246 abolii     12462 aerea      13114 alcune     
11211 36         11423 600        11635 8000       12251 aborti     12463 aeree      13115 alcuni     
11212 37         11424 666        11636 8888       12252 abroga     12464 aerei      13116 alfa       
11213 38         11425 678        11641 9000       12253 abrogo     12465 aereo      13121 alga       
11214 39         11426 700        11642 9876       12254 abusa      12466 af         13122 alghe      
11215 40         11431 777        11643 9999       12255 abusai     12511 afa        13123 ali        
11216 41         11432 789        11644 -          12256 abusi      12512 affama     13124 aliena     
11221 42         11433 800        11645 --         12261 abuso      12513 affami     13125 alieni     
11222 43         11434 888        11646 ---        12262 ac         12514 affamo     13126 alieno     
11223 44         11435 900        11651 !          12263 accada     12515 affare     13131 aliti      
11224 45         11436 999        11652 !!         12264 accade     12516 affari     13132 alito      
11225 46         11441 1000       11653 !!!        12265 accasa     12521 affida     13133 allaga     
11226 47         11442 1111       11654 """"       12266 accasi     12522 affidi     13134 allago     
11231 48         11443 1234       11655 #          12311 accaso     12523 affido     13135 alle       
11232 49         11444 1492       11656 ##         12312 acceca     12524 affila     13136 allega     
11233 50         11445 1500       11661 ###        12313 acceco     12525 affili     13141 allego     
11234 51         11446 1600       11662 $          12314 accede     12526 affilo     13142 allena     
11235 52         11451 1700       11663 $$         12315 accesa     12531 affine     13143 alleni     
11236 53         11452 1800       11664 $$$        12316 accese     12532 affini     13144 alleno     
11241 54         11453 1900       11665 %          12321 accesi     12533 affoga     13145 alleva     
11242 55         11454 1910       11666 %%         12322 acceso     12534 affogo     13146 allevi     
11243 56         11455 1920       12111 %%%        12323 acciai     12535 afona      13151 allevo     
11244 57         11456 1925       12112 &          12324 accoda     12536 afone      13152 allo       
11245 58         11461 1930       12113 (          12325 accusa     12541 afoni      13153 allora     
11246 59         11462 1935       12114 ()         12326 accusi     12542 afono      13154 allori     
11251 60         11463 1940       12115 )          12331 accuso     12543 afosa      13155 alloro     
11252 61         11464 1945       12116 *          12332 acerbe     12544 afose      13156 alluce     
11253 62         11465 1950       12121 **         12333 acerbi     12545 afosi      13161 alluci     
11254 63         11466 1955       12122 ***        12334 acerbo     12546 afoso      13162 almeno     
11255 64         11511 1960       12123 :          12335 aceti      12551 ag         13163 alta       
